,essay,emotion
0,I know that the Notre Dame is a very important landmark but the fact that billionaires have pledged over 600 million dollars in under 24hrs to help fix it just really puts into perspective how easily rich people could help solve world issues if they cared,neutral
1,(USER) -- Trump threatens `full and complete embargo' and sanctions on Cuba if its troops do not cease operations in,neutral
2,will win La Liga with three games to spare if they beat https://t.co/iEBwnjVuWt,neutral
3,HT: Decent half. A goal would've been good though🤔,neutral
4,"In the 20th century we had weeping statues of the Virgin Mary. In 2019, we've got absolute fruitcakes like these guys. https://t.co/OUTWNGmNRO",neutral
5,"🚨 USER had a plane on the tarmac and was ready to leave for but convinced him to stay, U.S. Secretary of State USER 🇱🇷 claims. 🇻🇪 https://t.co/2pC5Sh34eX",neutral
6,"""You need to vote for us, for your children and grandchildren. In this election you vote for the future living conditions of human kind"" https://t.co/k1sFYvlKZB 16-year-old USER's plea to EU Parliament to respond to as swiftly as",neutral
7,I feel Jesus must had done Crime and this is a return gift from Human for his Sin. https://t.co/9WPyrOO0Jy,neutral
8,USER People of !! so hilarious movie that you are directing. you just wanna oil. oil oil oil oil oil such a Shame.,disgust
9,"USER Without meaning to be cruel, few 16 year olds choose to wear their hair in pig tails or dress like the twins in ""the Shining"", but is wrong ? The time for climate change denial is over. We are temporary stewards of this planet. Its our only home not a waste tip",neutral
10,"Remarkable match &amp; Incredible performance over the legs. You Win, You Lose, We Are Always with in your every ups &amp; Downs! USER",joy
11,That episode of Game Of Thrones was not as great as everyone is banging on like. Poor lighting throughout the whole episode leads to who's dead and who's not. If it wasn't for the last 10mins the episode was not very good being critically honest...,anger
12,may have had the visual and world bending destructive heft but the gritty and intimate rawness of yesterday's battle and its conclusion was the most satisfying!,joy
13,More fossil fuel funded lies and distortions so they can keep polluting and profiting. https://t.co/2F64MFB7Ji,neutral
14,Lmao. Liverpool are done 😂. 🐐 Makes it 2-0,joy
15,I can’t believe what happened to The Notre Dame Cathedral. It’s so tragic!! I feel so terrible for everyone in Paris to lose such an iconic landmark.,sadness
16,Now a devoted follower of the Lord of Light because those fire prayers by were my only hope of seeing what the hell was going on on screen.,neutral
17,It’s pretty generous that French billionaires are donating €600 M for restoring Notre Dame but it’s a shame that they don't do the same for the thousands of children dying of famine.,neutral
18,You just don't save these. Incredible.,neutral
19,"Interesting to think that the scans Ubisoft did of Notre Dame, so they could build an exact 1:1 replica inside Assassin's Creed Unity, could be used to aid the restoration. https://t.co/MHC2BorDAO",neutral
20,"That's the thing about books. Once they cast their spell on you, your life is transformed for good",neutral
21,Who is ready for the ?,neutral
22,👧 Who is One of the world’s 100 most influential people? A girl encouraged by the Pope to “keep doing what she’s doing.”? A Noble Peace Prize nominee? The new Che Guevara? 🛑 Or just a child abused by media? https://t.co/oFOwxuE7Lq USER USER_Replica,disgust
23,Struggle is real folks... Happy all you bibliophiles..! Have a ball reading..!😋 https://t.co/gXvOshCAXC,joy
24,The outcome of is less chaotic than expected but the policy of the upcoming left-wing coalition led by USER does not bode well for the Spanish economy. My take on USER_EN https://t.co/tzcVWjY6Ye,surprise
25,That damned Global warming strikes again.... https://t.co/IuR5OpZ9r7,anger
26,USER It's here! Smaller than I expected but PERFECT timing. Just in time for USER 😎And I've been replaying the game too! https://t.co/XanndYTjI8,joy
27,"It would be nice if the international correspondents that are covering would check what an interim president means before talking about a coup, which happens outside the Constitution &amp; by a person or group that are not the recognized government please!",disgust
28,"I will only back the through if there are 400 year old oaks that can be sent to to help rebuild the wooden vault that was destroyed in the USER If there aren't, don't bother.",anger
29,"Reason to own an AR-15 (or any other arms)... ""A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed."" 🇺🇸 https://t.co/69ZbU7UtYM",fear
30,"USER That’s not deluded, that’s the comment of someone that believes in their club, I also think we’ll get through, I was impressed with Ajax, but with Son and a fully fit Sissoko, we can do it! 👍🏼",joy
31,On be inspired by these amazing books by and about refugees! Our reading list with USER 📚 https://t.co/80DOcykOdf,joy
32,vs. Get your best odds -fast at https://t.co/Ohl03KWAVe https://t.co/K3JmuAKdmc,neutral
33,USER Do not doubt there they will be met by real citizens and patriots of and not your deceived puppets.,anger
34,We’re screening the Barcelona vs Liverpool match tonight! Tell a friend to tell friend! Happy Hour from 10-Midnight at USER_bar254! https://t.co/tGwg72Qeaq,joy
35,"If you're wondering what 'system change' might look like, BU's Rick Stafford has outlined some interesting suggestions in USER : https://t.co/GOqoHwyAcT USER",neutral
36,Pretty sure this episode of was set in my local USER! https://t.co/eXBkZRK6fE,neutral
37,Biting my nails watching the Barca defense run air passes in their own box. Each touch is a spike in my anxiety.,fear
38,"Congratulations to the President and his Administration for being on top of the situation in and encouraging new leadership. When Iranians rebelled against the mullahs in 2009, the Obama team sat back and let Green Revolution die. https://t.co/cIKugcHnm9",joy
39,"""The man who DOES NOT read good books has no advantage over the man who CANNOT read them."" - Mark Twain https://t.co/6VUumjp3BR",disgust
40,USER On Twitter. What I say on this ? Books are our never failing friends. Must Read &amp; Learn The Noble Qur'an presents by the Lord of Aalamin.,joy
41,Praying for Paris and as we continue this Holy Week amongst great loss. Thanks be to God no lives were lost!,joy
42,UK TIME AROUND NOON - US EST 0700 TODAY THIS WAS HAPPENING: Shots fired in Caracas amid coup attempt https://t.co/vd7LdCQxXt,neutral
43,"WAR...""This is not a way of life at all, in any true sense. Under the cloud of threatening war, it is humanity hanging from a cross of iron"" Eisenhower https://t.co/D60ETEs9RW",neutral
44,I Wish I Could Cry Loudly For Notre Dame. It is a loss for whole europe. https://t.co/oVDI2zJUUj,sadness
45,"I actually cried at the end, you all thought a male would be the hero but no Arya to the rescue! My hero 🤩",joy
46,"Klopp said, - Great respect for the best. - One in which Messi celebrates. - A draw would not be the worst result,",joy
47,Horrifying footage shows an armoured car ploughing into protesters in https://t.co/m9fAgW8N9c,neutral
48,The red witch will always be THAT bitch,joy
49,"Books are my best parents, teachers, friends, philosopher, guide and doctor. They never say NO to my needs.",neutral
50,USER USER USER USER That is a risky strategy for the US. Seems this might backfire. And paint the US like an actor that cannot deliver on that it thought it got its hands on. So will US now up the ante... of back down. Or let this simply quit down....,neutral
51,Well damn hiding in the crypts was a bad idea,disgust
52,Here Are Some Of Your Favorite Memories Of Notre Dame https://t.co/vRPj7rjUQT https://t.co/zuS0SGR3fs,neutral
53,Happy ♥️📚♥️ Thank you for making the world a better place with your beautiful stories USER USER_girl USER USER USER USER USER_Prescott USER USER_L_James USER USER USER_mark USER https://t.co/OeWQdKA1TT,neutral
54,"I must've had the brightness too low or something in that episode, cause me throughout most of it: https://t.co/MZPK8Y5i3O",neutral
55,Best free kick I’ve ever seen. WOW. The guy isn’t human. The speed on this free kick is outrageous. It has EVERYTHING. https://t.co/leX2tcFBFh,surprise
56,I don't feel the joy of winning and I don't think I am going to feel it unless we win the https://t.co/0jlIBljGAT,sadness
57,Every page that you turn will take you closer to your goal. Choose success by choosing us. https://t.co/1tVRo0rV2I,neutral
58,The city of Barcelona is turning up right now. Wow!,joy
59,"Van dijk must be like ""I hope they don't take back my PFA Player of the year trophy"" https://t.co/1BeEwDcbsv",neutral
60,USER Did you know that the black/brown working class are the most affected population by the corrupt government in Your hate for USER blind your objective vision of what's happening. You can be left or right; socialist or capitalist. Venezuela is none of those,disgust
61,"Had to watch last night’s episode of GoT again. That Night King is really a guy you can love to hate. That swagger and arrogance, and utter contempt for human life. The actor has done such a good job with him.",joy
62,"As sad as is and lets hope it can be restored, isnt a relief to switch on the morning news and not be bombarded by",sadness
63,"USER USER_Wheeler Mindless people can't tell straight facts, that's for sure. Look closely if you can!",anger
64,"What else is left for us, people? is over and is about to end as well. Ugh!",disgust
65,"USER USER USER_saxena Hey, You tweet lot of stuffs, take a moment and think about Tweet about because Create about Start a discussion Use the platform and your audience atleast ones for real issues.",neutral
66,Gonna have to stay up with another can to calm down after that!,surprise
67,Wow Arya Stark might just be my favourite character EVER 👍,joy
68,Engineering experts consider fire damages and reconstruction questions. https://t.co/AT4mKCMW7h,neutral
69,Assassin's Creed: Unity' could help with Notre Dame restoration A game could help restore a historic landmark! This is the best news ever! https://t.co/EuISfqMJ8X,joy
70,Just lending USER and USER an idea - apprenticeship schemes in construction and traditional crafts for disadvantaged young people in France to work on the reconstruction,neutral
71,declared as public told to hold their nose and not breath in the greenhouse gas emitted by the Grand Petomane of aka little miss farty pants https://t.co/6Jnesqrq2k,neutral
72,Today April 23rd is - My first book as a toddler was What was the first book you read? What challenges are you finding reading in a digital era? Has the Internet made the reading culture any easier? USER USER USER USER @ https://t.co/WpVedKfTnL,neutral
73,I am picking forsake of USER and USER who were cheated out of last year by,neutral
74,Barcelona playing against the whole of England. https://t.co/4Nay2IsYVg,neutral
75,Well said! 👏 lets see how he would do in or which I'd love to see! https://t.co/n26G0nH1eK,joy
76,French fan did this video. for some reason…so strange. https://t.co/glTFGbA6M7,surprise
77,Watching such a beatiful and historically important building burned to the ground brokes my heart😞,sadness
78,We had everything except Goals; Matip was superb for us; didn’t take our chances in the third- have hopes to turn this around.,neutral
79,"Its Our guests enjoy the donated books you share with us! It’s nice to be able to curl up after a long day of treatment and relax with a good book, or when waiting for loved one during an appointment. What are some of your favorite reads?",neutral
80,US Deputy hits and kills teenager https://t.co/nh7kLnvrqX,sadness
81,"Lyanna is the USER of Westeros, killing evil giants and all https://t.co/kra9whqGPE",neutral
82,USER USER USER_ynwa USER USER USER USER USER USER USER USER USER USER Thanks so much Saloni for the really appreciate it...Hope you and everyone has a great and enjoy the too...#YNWA,joy
83,I remember a few years back when USER had a 50% CB offer at USER for it was glorious.,joy
84,"USER Books are packed with knowledge, insights into a happy life, life lessons, love, fear, prayer and helpful advice.",joy
85,You want to see a REAL humanitarian crisis? This is members of the Military in murdering its citizens in cold blood. Tell me again how evil is and how bad you have it living in https://t.co/eAxNfARWcE,anger
86,Absolutely shocking. This person is running for election and claims to be an investigative journalist. USER is one of the inspirations of our time. She does not deserve these attacks. Just shows is changing the world! https://t.co/KHdAWEHjgs,disgust
87,"Everything Barca-Liverpool is trending worldwide now. Wow, a match that really has such great impacts!",joy
88,USER USER it's a book which clearly demonstrates that solutions to any problem challenge must stem from within the local set up. Which is opposite of what we normally do Happy,neutral
89,"USER So dear Greta, what do you plan to do about the in which are bigger than the CO2-emissions of &amp; the combined?",neutral
90,"took its Oil off the THAT WAS A ATTACK ON EVERY AMERICANS HIGH STANDARD OF LIVING Because if the Dollar is not protected, if the Dollar defaults THE WORLD ECONOMY WOULD COLLAPSE, AND CHINA WOULD TAKEOVER. And things would get even alot worst",anger
91,"Praying for the people of . Thousand of people in the streets at They are demanding freedom and fight against Now, armed forces also stand against Maduro. Hope that it will end up with victory for Venezuelans",neutral
92,I’ve never seen a scoreline not reflect a match so much in my entire life. Anyone who watched this match knows that the scoreline is so incredibly far from a representation of how the teams have played.,neutral
93,"10 titles between the teams playing tonight, 5 each. Who will go on to challenge for their 6th crown in Madrid?",neutral
94,"USER Yes, the people of Reject selected https://t.co/47ZlHbjmSA",disgust
95,🔴Breaking.... MPs vote unanimously to be the first parliament in the World to declare an environment and climate emergency 😁 Well done &amp; 💚🌍 https://t.co/e6w9DAmW8A,joy
96,So maybe THE theme of has been that political power jockeying is laughably absurd when the survival of humanity is at stake. Now it's like 'just kidding the story is *actually* about whose gross incest blood makes them most deserving to live in a castle'?,disgust
97,USER is happy about killing innocent protesters in this is evil and criminal https://t.co/pJ398jkOXA,neutral
98,USER are champions once more. What I am happy about this season is that sometimes championships are won by grit and not only by flair. We showed grit. 8 times in the last 11 seasons.,joy
99,"I can emerge, I've seen it spoiler free!",joy
100,"What is one thing that you can not live without? — Easy, https://t.co/HvNPXb1Mtj",neutral
101,"casually sneaking behind the all mighty, dreaded, hallowed, supreme, absolute terror, ultimate form of death and destruction is the laziest piece of Deux ex Machina in modern culture. USER",neutral
102,This Friday celebrate a brilliant movement led by young women inspired by aka USER_woman hopes that some of these young women go on to brilliant careers in academia! https://t.co/LRQNYgGG4j,joy
103,"🚨THREAD...I understand that is sad, but, I think it’s important in these moments to also have some perspective: It’s been 1817 days since has had clean drinking water",disgust
104,Games to 👀👀👀 Wait for better prices👍 Low stake low odds risky 4-fold https://t.co/mELHSHoOPo,neutral
105,Maybe that God entity was punishing the Catholic Church? Maybe we should all march &amp; sing &amp; mourn our destruction of our Earth's life support system? https://t.co/7VsfUyTdvH,disgust
